"name","essround","edition","proddate","idno","cntry","dweight","pspwght","pweight","anweight","prob","stratum","psu","ppltrst","imbgeco","hhmmb","agea","eduyrs"
"ESS1e06_7",1,"6.7","23.11.2023",1001,"FI",1,0.83815044,0.21020015,0.17617935,,,,10,8,1,65,15
"ESS1e06_7",1,"6.7","23.11.2023",1002,"FI",1,0.91754323,0.21020015,0.19286773,,,,8,5,2,77,6
"ESS1e06_7",1,"6.7","23.11.2023",1003,"FI",1,1.226169,0.21020015,0.2577409,,,,7,4,5,36,11
"ESS1e06_7",1,"6.7","23.11.2023",1004,"FI",1,1.0568793,0.21020015,0.22215618,,,,7,5,6,28,15
"ESS1e06_7",1,"6.7","23.11.2023",1005,"FI",1,0.9457139,0.21020015,0.1987892,,,,7,5,2,23,16
"ESS1e06_7",1,"6.7","23.11.2023",1006,"FI",1,0.8028325,0.21020015,0.1687555,,,,7,6,4,15,8
"ESS1e06_7",1,"6.7","23.11.2023",1007,"FI",1,0.91754323,0.21020015,0.19286773,,,,5,5,1,75,6
"ESS1e06_7",1,"6.7","23.11.2023",1008,"FI",1,0.9236146,0.21020015,0.19414392,,,,6,8,1,20,13
"ESS1e06_7",1,"6.7","23.11.2023",1010,"FI",1,1.2691058,0.21020015,0.26676622,,,,7,6,2,44,13
"ESS1e06_7",1,"6.7","23.11.2023",1011,"FI",1,0.8638738,0.21020015,0.1815864,,,,5,88,2,74,6
"ESS1e06_7",1,"6.7","23.11.2023",1012,"FI",1,0.9342099,0.21020015,0.19637105,,,,10,7,2,73,12
"ESS1e06_7",1,"6.7","23.11.2023",1013,"FI",1,0.8028325,0.21020015,0.1687555,,,,2,7,2,18,11
"ESS1e06_7",1,"6.7","23.11.2023",1014,"FI",1,0.8028325,0.21020015,0.1687555,,,,8,6,7,18,11
"ESS1e06_7",1,"6.7","23.11.2023",1016,"FI",1,0.9909977,0.21020015,0.20830786,,,,7,0,2,80,7
"ESS1e06_7",1,"6.7","23.11.2023",1017,"FI",1,0.9246943,0.21020015,0.19437088,,,,7,5,2,65,8
"ESS1e06_7",1,"6.7","23.11.2023",1018,"FI",1,1.2357254,0.21020015,0.25974965,,,,7,4,3,37,13
